Date : 2025-11-22 18:16:08
Directory : f:\coding\plexichat
Total : 562 files,  178644 codes, 21215 comments, 31522 blanks, all 231381 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        404 |    117,236 |     19,863 |     25,163 |    162,262 |
| HTML             |         72 |     37,892 |        633 |      4,742 |     43,267 |
| JSON             |         35 |     13,888 |          0 |         32 |     13,920 |
| JavaScript       |         12 |      4,578 |        255 |        660 |      5,493 |
| PostCSS          |          9 |      3,374 |        152 |        633 |      4,159 |
| YAML             |          7 |        598 |         20 |         84 |        702 |
| Makefile         |          1 |        360 |         47 |         39 |        446 |
| pip requirements |         13 |        290 |        189 |         53 |        532 |
| PowerShell       |          1 |        140 |         17 |         29 |        186 |
| Markdown         |          2 |        105 |          0 |         37 |        142 |
| Batch            |          2 |         87 |         15 |         19 |        121 |
| Shell Script     |          2 |         68 |         24 |         30 |        122 |
| Ini              |          2 |         28 |          0 |          1 |         29 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        562 |    178,644 |     21,215 |     31,522 |    231,381 |
| . (Files)                                                                                                |         12 |     11,275 |        258 |        107 |     11,640 |
| .github                                                                                                  |          4 |        505 |         20 |         70 |        595 |
| .github (Files)                                                                                          |          1 |         18 |          3 |          2 |         23 |
| .github\workflows                                                                                        |          3 |        487 |         17 |         68 |        572 |
| config                                                                                                   |          1 |         50 |          0 |          9 |         59 |
| htmlcov                                                                                                  |          2 |         93 |         10 |         26 |        129 |
| plugins                                                                                                  |         68 |     12,620 |      1,509 |      2,163 |     16,292 |
| plugins\advanced_analytics                                                                               |          1 |        142 |          0 |          0 |        142 |
| plugins\advanced_antivirus                                                                               |         12 |      1,928 |        408 |        367 |      2,703 |
| plugins\advanced_antivirus (Files)                                                                       |          4 |        436 |        123 |         80 |        639 |
| plugins\advanced_antivirus\core                                                                          |          8 |      1,492 |        285 |        287 |      2,064 |
| plugins\ai_providers                                                                                     |          9 |      1,572 |        189 |        327 |      2,088 |
| plugins\ai_providers (Files)                                                                             |          3 |        350 |         37 |         75 |        462 |
| plugins\ai_providers\providers                                                                           |          4 |        505 |         95 |        137 |        737 |
| plugins\ai_providers\tests                                                                               |          1 |        353 |         33 |         75 |        461 |
| plugins\ai_providers\webui                                                                               |          1 |        364 |         24 |         40 |        428 |
| plugins\analytics_dashboard                                                                              |          1 |        129 |          0 |          1 |        130 |
| plugins\api_integration_layer                                                                            |          3 |        810 |        113 |        148 |      1,071 |
| plugins\api_tester                                                                                       |          3 |      1,340 |        144 |        294 |      1,778 |
| plugins\code_analyzer                                                                                    |          3 |        583 |         81 |        131 |        795 |
| plugins\comprehensive_api_test                                                                           |          2 |        460 |         85 |        105 |        650 |
| plugins\dark_theme_pro                                                                                   |          1 |        188 |          0 |          0 |        188 |
| plugins\data_visualizer                                                                                  |          3 |        481 |         67 |         97 |        645 |
| plugins\dev_tools                                                                                        |          3 |        736 |         72 |        134 |        942 |
| plugins\echo                                                                                             |          3 |        380 |         35 |         61 |        476 |
| plugins\file_manager                                                                                     |          5 |      1,143 |        122 |        196 |      1,461 |
| plugins\file_manager (Files)                                                                             |          3 |        543 |         75 |        102 |        720 |
| plugins\file_manager\tests                                                                               |          1 |        231 |         39 |         58 |        328 |
| plugins\file_manager\ui                                                                                  |          1 |        369 |          8 |         36 |        413 |
| plugins\file_manager\ui\static                                                                           |          1 |        369 |          8 |         36 |        413 |
| plugins\hello_world                                                                                      |          3 |        287 |         26 |         39 |        352 |
| plugins\network_scanner                                                                                  |          3 |        637 |         86 |        128 |        851 |
| plugins\notification_center                                                                              |          1 |        175 |          0 |          0 |        175 |
| plugins\performance_monitor                                                                              |          3 |        360 |         38 |         57 |        455 |
| plugins\quantum_backup                                                                                   |          1 |        179 |          0 |          0 |        179 |
| plugins\security_toolkit                                                                                 |          3 |        333 |         43 |         75 |        451 |
| plugins\system_manager                                                                                   |          1 |        142 |          0 |          1 |        143 |
| plugins\system_monitoring                                                                                |          1 |        172 |          0 |          0 |        172 |
| plugins\user_manager                                                                                     |          1 |        138 |          0 |          1 |        139 |
| plugins\webhook_manager                                                                                  |          1 |        140 |          0 |          1 |        141 |
| plugins\workflow_automation                                                                              |          1 |        165 |          0 |          0 |        165 |
| scripts                                                                                                  |          5 |        117 |         24 |         25 |        166 |
| scripts (Files)                                                                                          |          1 |         76 |          8 |         14 |         98 |
| scripts\qemu                                                                                             |          4 |         41 |         16 |         11 |         68 |
| scripts\qemu (Files)                                                                                     |          2 |         19 |         16 |         11 |         46 |
| scripts\qemu\vm_configs                                                                                  |          2 |         22 |          0 |          0 |         22 |
| src                                                                                                      |        470 |    153,984 |     19,394 |     29,122 |    202,500 |
| src\plexichat                                                                                            |        470 |    153,984 |     19,394 |     29,122 |    202,500 |
| src\plexichat (Files)                                                                                    |          5 |      1,214 |        384 |        269 |      1,867 |
| src\plexichat\core                                                                                       |        153 |     43,431 |      8,206 |      9,434 |     61,071 |
| src\plexichat\core (Files)                                                                               |         12 |      2,369 |        728 |        445 |      3,542 |
| src\plexichat\core\auth                                                                                  |         19 |      2,533 |        599 |        694 |      3,826 |
| src\plexichat\core\auth (Files)                                                                          |          4 |        463 |        212 |        130 |        805 |
| src\plexichat\core\auth\models                                                                           |          3 |         16 |         11 |         13 |         40 |
| src\plexichat\core\auth\repositories                                                                     |          2 |        116 |         38 |         42 |        196 |
| src\plexichat\core\auth\services                                                                         |         10 |      1,938 |        338 |        509 |      2,785 |
| src\plexichat\core\cache                                                                                 |          2 |        366 |         13 |         40 |        419 |
| src\plexichat\core\clustering                                                                            |          3 |      1,676 |        327 |        451 |      2,454 |
| src\plexichat\core\database                                                                              |         10 |      1,050 |        296 |        255 |      1,601 |
| src\plexichat\core\database (Files)                                                                      |          6 |        342 |        205 |        103 |        650 |
| src\plexichat\core\database\migrations                                                                   |          4 |        708 |         91 |        152 |        951 |
| src\plexichat\core\errors                                                                                |          7 |      2,065 |        288 |        365 |      2,718 |
| src\plexichat\core\events                                                                                |          2 |        461 |         83 |        128 |        672 |
| src\plexichat\core\files                                                                                 |          3 |      1,106 |        157 |        237 |      1,500 |
| src\plexichat\core\messaging                                                                             |          5 |      1,193 |        289 |        305 |      1,787 |
| src\plexichat\core\middleware                                                                            |          7 |      1,883 |        305 |        415 |      2,603 |
| src\plexichat\core\middleware (Files)                                                                    |          5 |      1,276 |        235 |        354 |      1,865 |
| src\plexichat\core\middleware\rate_limiting                                                              |          2 |        607 |         70 |         61 |        738 |
| src\plexichat\core\monitoring                                                                            |          5 |      1,074 |        164 |        279 |      1,517 |
| src\plexichat\core\notifications                                                                         |          5 |      1,207 |        196 |        258 |      1,661 |
| src\plexichat\core\performance                                                                           |         14 |      5,919 |      1,142 |      1,550 |      8,611 |
